"regatta_id","class_name","boat_country_code","sail_number","first_name","last_name","email"
"1","ILCA","POR","ILCA001","Teste1","CVT","teste.cvt+1@example.com"
"1","ILCA","POR","ILCA002","Teste2","CVT","teste.cvt+2@example.com"
"1","ILCA","POR","ILCA003","Teste3","CVT","teste.cvt+3@example.com"
"1","ILCA","POR","ILCA004","Teste4","CVT","teste.cvt+4@example.com"
"1","ILCA","POR","ILCA005","Teste5","CVT","teste.cvt+5@example.com"
"1","ILCA","POR","ILCA006","Teste6","CVT","teste.cvt+6@example.com"
"1","ILCA","POR","ILCA007","Teste7","CVT","teste.cvt+7@example.com"
"1","ILCA","POR","ILCA008","Teste8","CVT","teste.cvt+8@example.com"
"1","ILCA","POR","ILCA009","Teste9","CVT","teste.cvt+9@example.com"
"1","ILCA","POR","ILCA010","Teste10","CVT","teste.cvt+10@example.com"
