"regatta_id","class_name","boat_country_code","sail_number","boat_name","boat_model","rating_type","rating","owner_first_name","owner_last_name","owner_email","first_name","last_name","email"
"1","ANC A","POR","9301","ANC A Boat 1","Beneteau First 31.7","anc","0.943","Owner1","ANCA","owner.anca+1@example.com","Helm1","ANCA","helm.anca+1@example.com"
"1","ANC A","POR","9302","ANC A Boat 2","Beneteau First 31.7","anc","0.946","Owner2","ANCA","owner.anca+2@example.com","Helm2","ANCA","helm.anca+2@example.com"
"1","ANC A","POR","9303","ANC A Boat 3","Beneteau First 31.7","anc","0.949","Owner3","ANCA","owner.anca+3@example.com","Helm3","ANCA","helm.anca+3@example.com"
"1","ANC A","POR","9304","ANC A Boat 4","Beneteau First 31.7","anc","0.952","Owner4","ANCA","owner.anca+4@example.com","Helm4","ANCA","helm.anca+4@example.com"
"1","ANC A","POR","9305","ANC A Boat 5","Beneteau First 31.7","anc","0.955","Owner5","ANCA","owner.anca+5@example.com","Helm5","ANCA","helm.anca+5@example.com"
"1","ANC A","POR","9306","ANC A Boat 6","Beneteau First 31.7","anc","0.958","Owner6","ANCA","owner.anca+6@example.com","Helm6","ANCA","helm.anca+6@example.com"
"1","ANC A","POR","9307","ANC A Boat 7","Beneteau First 31.7","anc","0.961","Owner7","ANCA","owner.anca+7@example.com","Helm7","ANCA","helm.anca+7@example.com"
"1","ANC A","POR","9308","ANC A Boat 8","Beneteau First 31.7","anc","0.964","Owner8","ANCA","owner.anca+8@example.com","Helm8","ANCA","helm.anca+8@example.com"
"1","ANC A","POR","9309","ANC A Boat 9","Beneteau First 31.7","anc","0.967","Owner9","ANCA","owner.anca+9@example.com","Helm9","ANCA","helm.anca+9@example.com"
"1","ANC A","POR","9310","ANC A Boat 10","Beneteau First 31.7","anc","0.97","Owner10","ANCA","owner.anca+10@example.com","Helm10","ANCA","helm.anca+10@example.com"
